Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score,Genres
784,"Odd Thomas (Odd Thomas, #1)",Dean Koontz,3.99,"271,068","First published January 1, 2003","He's Odd. Odd Thomas, to be precise. Genius fry-cook at the Pico Mundo Grill; boyfriend to the gorgeous Stormy Llewellyn - and possibly the only person with a chance of stopping one of the worst crimes in the bloody history of murder...","8,604",446,Paperback,"12,097","Horror, Fiction, Fantasy, Mystery, Thriller, Paranormal, Supernatural"
777,The Iliad,Homer,3.91,"468,306","First published January 1, 801","Dating to the ninth century B.C., Homer’s timeless poem still vividly conveys the horror and heroism of men and gods wrestling with towering emotions and battling amidst devastation and destruction, as it moves inexorably to the wrenching, tragic conclusion of the Trojan War. Renowned classicist Bernard Knox observes in his superb introduction that although the violence of the Iliad is grim and relentless, it coexists with both images of civilized life and a poignant yearning for peace.","13,077",704,Library Binding,"12,153","Poetry, Fiction, Mythology, Classics, Literature, Fantasy, Historical Fiction"
779,"Death on the Nile (Hercule Poirot, #18)",Agatha Christie,4.12,"272,368","First published November 1, 1937","The tranquility of a lovely cruise along the Nile is shattered by the discovery that Linnet Ridgeway has been shot. She was young, stylish and beautiful, a girl who had everything – until she lost her life.","18,686",352,Paperback,"12,148","Mystery, Fiction, Crime, Mystery Thriller, Audiobook, Detective, Thriller"
777,Educated,Tara Westover,4.47,"1,615,241","First published February 20, 2018","Tara Westover was 17 the first time she set foot in a classroom. Born to survivalists in the mountains of Idaho, she prepared for the end of the world by stockpiling home-canned peaches and sleeping with her ""head-for-the-hills bag"". In the summer she stewed herbs for her mother, a midwife and healer, and in the winter she salvaged in her father's junkyard.","115,072",352,Hardcover,"12,153","Nonfiction, Memoir, Biography, Audiobook, Biography Memoir, Autobiography, Book Club"
776,Geek Love,Katherine Dunn,3.95,"69,159","First published March 1, 1989"," is the story of the Binewskis, a carny family whose mater- and paterfamilias set out ― with the help of amphetamine, arsenic, and radioisotopes ― to breed their own exhibit of human oddities. There's Arturo the Aquaboy, who has flippers for limbs and a megalomaniac ambition worthy of Genghis Khan . . . Iphy and Elly, the lissome Siamese twins . . . albino hunchback Oly, and the outwardly normal Chick, whose mysterious gifts make him the family's most precious ― and dangerous ― asset.","7,358",348,Paperback,"12,163","Fiction, Horror, Fantasy, Contemporary, Literary Fiction, Novels, Literature"
780,"The Girl in the Eagle's Talons (Millennium, #7)",Karin Smirnoff,3.43,"15,289","First published November 4, 2022","Change is coming to Sweden’s far north: its untapped natural resources are sparking a gold rush with the criminal underworld leading the charge. But it’s not the prospect of riches that brings Lisbeth Salander to the small town of Gasskas. She has been named guardian to her niece Svala, whose mother has disappeared. Two things soon become clear: Svala is a remarkably gifted teenager—and she’s being watched.","1,709",368,Hardcover,"12,141","Thriller, Fiction, Mystery, Crime, Mystery Thriller, Suspense, Contemporary"
773,How to Win Friends & Influence People,Dale Carnegie,4.22,"1,026,719","First published October 1, 1936",You can go after the job you want...and get it! You can take the job you have...and improve it! You can take any situation you're in...and make it work for you!,"26,169",288,Paperback,"12,278","Self Help, Nonfiction, Business, Psychology, Personal Development, Leadership, Communication"
775,A Winter Grave,Peter  May,4.08,"7,825","First published January 19, 2023","It is the year 2051. Warnings of climate catastrophe have been ignored, and vast areas of the planet are under water, or uninhabitably hot. A quarter of the world's population has been displaced by hunger and flooding, and immigration wars are breaking out around the globe as refugees pour into neighboring countries.",540,368,Kindle Edition,"12,189","Crime, Mystery, Thriller, Fiction, Novels, Dark, Suspense"
770,The Sirens of Titan,Kurt Vonnegut Jr.,4.15,"146,048","First published January 1, 1959","The Sirens of Titan is an outrageous romp through space, time, and morality. The richest, most depraved man on Earth, Malachi Constant, is offered a chance to take a space journey to distant worlds with a beautiful woman at his side. Of course there's a catch to the invitation—and a prophetic vision about the purpose of human life that only Vonnegut has the courage to tell.","7,365",224,Paperback,"12,358","Fiction, Science Fiction, Classics, Humor, Fantasy, Literature, Novels"
774,Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,4.25,"95,108","First published April 1, 1970","Now a special 30th-anniversary edition in both hardcover and paperback, the classic bestselling history ","5,656",509,Paperback,"12,219","History, Nonfiction, Native American, American History, Classics, Historical, Indigenous"
769,Cosmos,Carl Sagan,4.40,"149,346","First published January 1, 1980","The story of fifteen billion years of cosmic evolution transforming matter and life into consciousness, of how science and civilisation grew up together, and of the forces and individuals who helped shape modern science. A story told with Carl Sagan's remarkable ability to make scientific ideas both comprehensible and exciting, based on his acclaimed television series.","4,651",384,Mass Market Paperback,"12,362","Science, Nonfiction, Physics, Astronomy, History, Space, Philosophy"
772,Veronika Decides to Die,Paulo Coelho,3.73,"227,070","First published January 1, 1998","In his latest international bestseller, the celebrated author of ","11,521",285,Paperback,"12,304","Fiction, Contemporary, Philosophy, Novels, Psychology, Mental Health, Romance"
766,The Blind Assassin,Margaret Atwood,3.96,"157,857","First published September 1, 2000","Margaret Atwood takes the art of storytelling to new heights in a dazzling novel that unfolds layer by astonishing layer and concludes in a brilliant and wonderfully satisfying twist. Told in a style that magnificently captures the colloquialisms and clichés of the 1930s and 1940s, ","9,779",637,Paperback,"12,525","Fiction, Historical Fiction, Mystery, Literary Fiction, Classics, Canada, Contemporary"
771,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,3.84,"714,695","First published September 11, 2001","Carmen got the jeans at a thrift shop. They didn’t look all that great: they were worn, dirty, and speckled with bleach. On the night before she and her friends part for the summer, Carmen decides to toss them. ","8,865",294,Hardcover,"12,332","Young Adult, Fiction, Chick Lit, Contemporary, Romance, Teen, Realistic Fiction"
768,"It Ain't Me, Babe (Hades Hangmen, #1)",Tillie Cole,4.05,"54,581","First published April 26, 2014",Sinning never felt so good… A fortuitous encounter. A meeting that should never have happened. ,"5,817",466,Kindle Edition,"12,439","Romance, Dark, Contemporary, Abuse, Contemporary Romance, New Adult, Adult"
767,The Agony and the Ecstasy,Irving Stone,4.09,"91,614","First published January 1, 1958","Celebrating the 500th anniversary of Michelangelo’s David, New American Library releases a special edition of Irving Stone’s classic biographical novel—in which both the artist and the man are brought to life in full. A masterpiece in its own right, this novel offers a compelling portrait of Michelangelo’s dangerous, impassioned loves, and the God-driven fury from which he wrested the greatest art the world has ever known.","2,445",776,Mass Market Paperback,"12,440","Historical Fiction, Fiction, Art, Classics, Italy, Historical, Art History"
762,"Storm Front (The Dresden Files, #1)",Jim Butcher,3.97,"359,338","First published April 1, 2000","Harry Dresden is the best at what he does. Well, technically, he's the ","21,060",372,Mass Market Paperback,"12,710","Fantasy, Urban Fantasy, Mystery, Fiction, Paranormal, Audiobook, Magic"
764,"Tears of Tess (Monsters in the Dark, #1)",Pepper Winters,4.00,"41,038","First published August 30, 2013","Tess Snow has everything she ever wanted: one more semester before a career in property development, a loving boyfriend, and a future dazzling bright with possibility. ","4,004",376,Paperback,"12,567","Dark, Romance, BDSM, Erotica, Contemporary, New Adult, Abuse"
761,Papillon,Henri Charrière,4.23,"71,516","First published January 1, 1969","Henri Charrière, called ""Papillon,"" for the butterfly tattoo on his chest, was convicted in Paris in 1931 of a murder he did not commit. Sentenced to life imprisonment in the penal colony of French Guiana, he became obsessed with one goal: escape. After planning and executing a series of treacherous yet failed attempts over many years, he was eventually sent to the notorious prison, Devil's Island, a place from which no one had ever escaped . . . until Papillon. His flight to freedom remains one of the most incredible feats of human cunning, will, and endurance ever undertaken.","2,939",544,Paperback,"12,739","Nonfiction, Biography, Classics, Memoir, Adventure, Autobiography, France"
763,House of Sand and Fog,Andre Dubus III,3.86,"134,071","First published January 1, 1999",In this “page-turner with a beating heart” (,"4,744",384,Paperback,"12,702","Fiction, Contemporary, Literary Fiction, Novels, Adult Fiction, Literature, Book Club"
759,"Pretties (Uglies, #2)",Scott Westerfeld,3.84,"267,301","First published November 1, 2005","Tally has finally become pretty. Now her looks are beyond perfect, her clothes are awesome, her boyfriend is totally hot, and she's completely popular. It's everything she's ever wanted.","11,658",370,Paperback,"12,826","Young Adult, Dystopia, Science Fiction, Fiction, Fantasy, Romance, Teen"
760,Possession,A.S. Byatt,3.89,"81,362","First published January 1, 1990","Winner of England's Booker Prize and the literary sensation of the year, Possession is an exhilarating novel of wit and romance, at once an intellectual mystery and a triumphant love story. It is the tale of a pair of young scholars researching the lives of two Victorian poets. As they uncover their letters, journals and poems, and track their movements from London to Yorkshire - from spiritualist séances to the fairy-haunted far west of Brittany - what emerges is an extraordinary counterpoint of passions and ideas.","5,500",555,Paperback,"12,790","Fiction, Historical Fiction, Romance, Classics, Mystery, Literary Fiction, Historical"
